Sentence,Entity,Output
Lashio is my home,Location,Lashio
I'm ready to spend 364,Money,364
I enjoy Turecká,Cuisine,Turecká
I love Fried Chicken food,Cuisine,Fried Chicken
My budget is 190,Money,190
My budget is 28,Money,28
Chinese is my favorite,Cuisine,Chinese
I love Beverages food,Cuisine,Beverages
Living in Chiayi City,Location,Chiayi City
I'm looking for something within 622,Money,622
In Zvolen right now,Location,Zvolen
I live in Kampong Chhnang,Location,Kampong Chhnang
From Sungai Petani here,Location,Sungai Petani
My favorite is Vietnamese,Cuisine,Vietnamese
I'm in the mood for အဖျော်ယမကာများ,Cuisine,အဖျော်ယမကာများ
I can spend up to 470,Money,470
My favorite is Roti Canai,Cuisine,Roti Canai
My home Prachinburi is Prachinburi,Location,Prachinburi
My location is Bayan Baru,Location,Bayan Baru
Pirojpur is where I live,Location,Pirojpur
I'm craving Meat,Cuisine,Meat
I have around 237 for the meal,Money,237
I'm interested in ဘာဘယ်တီး,Cuisine,ဘာဘယ်တီး
I have 558 to spend,Money,558
Putrajaya is my home,Location,Putrajaya
Naypyitaw is where I reside,Location,Naypyitaw
I want to try ຕາເວັນອອກກາງ,Cuisine,ຕາເວັນອອກກາງ
甜點 is my favorite,Cuisine,甜點
I'm craving Pakistani,Cuisine,Pakistani
I love Blízkovýchodná food,Cuisine,Blízkovýchodná
My favorite is Hong Kong,Cuisine,Hong Kong
I am currently living in Phrae,Location,Phrae
My favorite is ဖက်ထုပ်,Cuisine,ဖက်ထုပ်
I have 983 to spend,Money,983
Petaling Jaya is my location,Location,Petaling Jaya
I'm located in Khammouane,Location,Khammouane
From Surat Thani here,Location,Surat Thani
Kampong Speu is my location,Location,Kampong Speu
I'm looking for အနောက်တိုင်းအစားအစာ,Cuisine,အနောက်တိုင်းအစားအစာ
I enjoy Francia,Cuisine,Francia
My current Songkhla is Songkhla,Location,Songkhla
Buriram is where I live,Location,Buriram
From Pakse here,Location,Pakse
Living in Siem Reap,Location,Siem Reap
Natore is my place,Location,Natore
I'm looking for Česká,Cuisine,Česká
Dinajpur is where I reside,Location,Dinajpur
I want to spend around 506,Money,506
I reside in Naogaon,Location,Naogaon
I love ຊູຊິ food,Cuisine,ຊູຊິ
Gopalganj is my current Gopalganj,Location,Gopalganj
I'm craving ມັງສະວີລັດ,Cuisine,ມັງສະວີລັດ
How about Nápoje,Cuisine,Nápoje
I'm comfortable spending 647,Money,647
I'm looking for Pizza,Cuisine,Pizza
I am currently living in Rangpur,Location,Rangpur
I'm interested in ເຢຍລະມັນ,Cuisine,ເຢຍລະມັນ
I live in Rajshahi,Location,Rajshahi
Siem Reap is where I reside,Location,Siem Reap
My current Pakse is Pakse,Location,Pakse
How about French,Cuisine,French
I'm willing to pay 707,Money,707
Kampot is where I reside,Location,Kampot
Quetta is where I live,Location,Quetta
My home Gazipur is Gazipur,Location,Gazipur
I enjoy Ayam Penyet,Cuisine,Ayam Penyet
I'm in the mood for Cambodian,Cuisine,Cambodian
I would like ຂອງຫວານ cuisine,Cuisine,ຂອງຫວານ
How about Stredomorská,Cuisine,Stredomorská
I would like အမေရိကန် cuisine,Cuisine,အမေရိကန်
I love Thajská food,Cuisine,Thajská
My budget is 427,Money,427
I'm craving Kuih,Cuisine,Kuih
I would like Pizza cuisine,Cuisine,Pizza
I can spend up to 129,Money,129
東南亞 is my favorite,Cuisine,東南亞
I'm looking for something within 635,Money,635
I'm ready to spend 730,Money,730
I love Ázsiai food,Cuisine,Ázsiai
Chaiyaphum is my place,Location,Chaiyaphum
Sylhet is my home,Location,Sylhet
I can spend up to 441,Money,441
I'm looking for something within 220,Money,220
I have around 201 for the meal,Money,201
Pasig City is my current location,Location,Pasig City
I am currently living in Pakse,Location,Pakse
I'm interested in 港式,Cuisine,港式
I'm comfortable spending 864,Money,864
I'm looking for something within 502,Money,502
I'm looking for Salads,Cuisine,Salads
I have 639 to spend,Money,639
I want to spend around 514,Money,514
I would like Hamburger cuisine,Cuisine,Hamburger
I'm craving အာရှ,Cuisine,အာရှ
I'm willing to pay 221,Money,221
I'm located in Gujrat,Location,Gujrat
I'm ready to spend 894,Money,894
I'm looking for something within 28,Money,28
I'm looking for something within 698,Money,698
Feni is my place,Location,Feni
Living in Lamphun,Location,Lamphun
I love Halétel food,Cuisine,Halétel
I have 499 to spend,Money,499
In Chiang Mai right now,Location,Chiang Mai
I have around 667 for the meal,Money,667
My favorite is German,Cuisine,German
Living in Rangpur,Location,Rangpur
I want to spend around 430,Money,430
Currently in Sherpur,Location,Sherpur
I'm willing to pay 324,Money,324
I'm willing to pay 288,Money,288
I'm looking for Chicken Rice,Cuisine,Chicken Rice
Dezerty is my favorite,Cuisine,Dezerty
I'm in the mood for မြေထဲပင်လယ်အစားအစာ,Cuisine,မြေထဲပင်လယ်အစားအစာ
I enjoy Indonesian,Cuisine,Indonesian
Let's go for Ramen,Cuisine,Ramen
I can spend up to 158,Money,158
I love Európska food,Cuisine,Európska
Rangpur is where I reside,Location,Rangpur
I can spend up to 649,Money,649
My home Yangon is Yangon,Location,Yangon
I'm located in Kulai,Location,Kulai
တရုတ်အစားအစာ is my favorite,Cuisine,တရုတ်အစားအစာ
My favorite is Cakes & Bakery,Cuisine,Cakes & Bakery
I want to try Nasi Lemak,Cuisine,Nasi Lemak
I can spend up to 309,Money,309
I'm interested in ແຊນວິດ,Cuisine,ແຊນວິດ
I'm ready to spend 286,Money,286
I'm interested in Dim Sum,Cuisine,Dim Sum
I want to spend around 989,Money,989
I'm in the mood for ဥရောပအစားအစာ,Cuisine,ဥရောပအစားအစာ
How about Szendvics,Cuisine,Szendvics
I want to try Fried Rice,Cuisine,Fried Rice
I love Indická food,Cuisine,Indická
Hong Kong is my current location,Location,Hong Kong
I want to spend around 100,Money,100
Savouries is my favorite,Cuisine,Savouries
I'm interested in Tea,Cuisine,Tea
I can afford 693,Money,693
How about Dezerty,Cuisine,Dezerty
I'm ready to spend 230,Money,230
I'm craving Cafe,Cuisine,Cafe
I have 312 to spend,Money,312
I would like Shanghainese cuisine,Cuisine,Shanghainese
Let's go for Cambodian,Cuisine,Cambodian
My location is Munshiganj,Location,Munshiganj
I want to try Shawarma,Cuisine,Shawarma
In Budapest right now,Location,Budapest
I am currently living in Barguna,Location,Barguna
I reside in Dhaka,Location,Dhaka
Let's go for HK Dessert,Cuisine,HK Dessert
Kushtia is my location,Location,Kushtia
I'm willing to pay 52,Money,52
I would like ແມັກຊິໂກ cuisine,Cuisine,ແມັກຊິໂກ
My current Mandalay is Mandalay,Location,Mandalay
I'm craving ມັງສະວີລັດ,Cuisine,ມັງສະວີລັດ
From Natore here,Location,Natore
How about Takoyaki,Cuisine,Takoyaki
How about မလေးရှားအစားအစာ,Cuisine,မလေးရှားအစားအစာ
I can spend up to 341,Money,341
From Banská Bystrica here,Location,Banská Bystrica
I want to spend around 521,Money,521
I live in Terengganu,Location,Terengganu
I'm interested in Halétel,Cuisine,Halétel
How about Milk Tea,Cuisine,Milk Tea
My location is Bago,Location,Bago
Currently in Phnom Penh,Location,Phnom Penh
German is my favorite,Cuisine,German
Sukhothai is my location,Location,Sukhothai
I'm ready to spend 480,Money,480
I enjoy Bakery,Cuisine,Bakery
Let's go for Shawarma,Cuisine,Shawarma
I'm located in Taung Gyi,Location,Taung Gyi
Mandalay is my home,Location,Mandalay
I'm willing to pay 843,Money,843
I want to spend around 214,Money,214
My budget is 182,Money,182
I love German food,Cuisine,German
I'm looking for ອິນເດຍ,Cuisine,ອິນເດຍ
I am currently living in Jerantut,Location,Jerantut
I have around 375 for the meal,Money,375
I'm looking for something within 61,Money,61
I enjoy Cha Chaan Teng,Cuisine,Cha Chaan Teng
From Rajshahi here,Location,Rajshahi
My favorite is Italian,Cuisine,Italian
My favorite is Grécka,Cuisine,Grécka
Davao City Davao del Sur is my current Davao City Davao del Sur,Location,Davao City Davao del Sur
Bratislava is my home,Location,Bratislava
My favorite is Dezerty,Cuisine,Dezerty
My budget is 839,Money,839
Living in Kampar,Location,Kampar
My home Brahmanbaria is Brahmanbaria,Location,Brahmanbaria
How about German,Cuisine,German
I would like Laksa cuisine,Cuisine,Laksa
I reside in Luangnamtha,Location,Luangnamtha
Let's go for ໄທ,Cuisine,ໄທ
I love ອາຫານເພື່ອສຸຂະພາບ food,Cuisine,ອາຫານເພື່ອສຸຂະພາບ
I live in Gazipur,Location,Gazipur
I'm looking for Pancakes & Waffles,Cuisine,Pancakes & Waffles
I'm looking for something within 571,Money,571
Lashio is where I reside,Location,Lashio
ကြက်သား is my favorite,Cuisine,ကြက်သား
Let's go for Noodles,Cuisine,Noodles
I'm ready to spend 894,Money,894
I'm in the mood for Indická,Cuisine,Indická
I can spend up to 19,Money,19
I have around 827 for the meal,Money,827
I'm comfortable spending 980,Money,980
Pirojpur is my home,Location,Pirojpur
I can afford 291,Money,291
Desszertek is my favorite,Cuisine,Desszertek
I have around 581 for the meal,Money,581
I can spend up to 999,Money,999
I have 949 to spend,Money,949
I'm willing to pay 373,Money,373
Arau is where I reside,Location,Arau
I'm looking for something within 349,Money,349
I enjoy Beverage,Cuisine,Beverage
I'm looking for French,Cuisine,French
I'm ready to spend 466,Money,466
I'm ready to spend 530,Money,530
I'm in Savannakhet,Location,Savannakhet
I can afford 659,Money,659
I can spend up to 25,Money,25
I'm looking for something within 38,Money,38
I'm looking for something within 144,Money,144
I would like Fried Rice cuisine,Cuisine,Fried Rice
I can afford 857,Money,857
I reside in Taungoo,Location,Taungoo
Ulu Tiram is my place,Location,Ulu Tiram
Continental is my favorite,Cuisine,Continental
I want to try Peranakan - Nyonya,Cuisine,Peranakan - Nyonya
How about ມັງສະວີລັດ,Cuisine,ມັງສະວີລັດ
I have 886 to spend,Money,886
Lahore is my location,Location,Lahore
My budget is 554,Money,554
I'm willing to pay 759,Money,759
I want to spend around 629,Money,629
I'm interested in 韓式,Cuisine,韓式
I'm looking for something within 221,Money,221
My favorite is Fruits,Cuisine,Fruits
I'm looking for something within 266,Money,266
Pursat is my location,Location,Pursat
I'm in Kuala Lumpur,Location,Kuala Lumpur
I want to spend around 120,Money,120
I'm willing to pay 336,Money,336
I would like Fruits cuisine,Cuisine,Fruits
I want to try တရုတ်အစားအစာ,Cuisine,တရုတ်အစားအစာ
I'm in the mood for Japonská,Cuisine,Japonská
My home Kulim is Kulim,Location,Kulim
I'm craving Nasi Kandar,Cuisine,Nasi Kandar
I'm comfortable spending 794,Money,794
I'm looking for something within 355,Money,355
I can spend up to 150,Money,150
I'm in the mood for ຮາລາລ,Cuisine,ຮາລາລ
Hailing from Kushtia,Location,Kushtia
I'm looking for Nasi Kerabu,Cuisine,Nasi Kerabu
Hailing from Lampang,Location,Lampang
I have around 659 for the meal,Money,659
I'm interested in ອາຫານຫວ່າງ,Cuisine,ອາຫານຫວ່າງ
Hailing from Gazipur,Location,Gazipur
I want to spend around 690,Money,690
I'm in Naogaon,Location,Naogaon
Let's go for Satay,Cuisine,Satay
My favorite is Wraps,Cuisine,Wraps
Lashio is my place,Location,Lashio
I'm in the mood for Laksa,Cuisine,Laksa
I'm looking for something within 844,Money,844
Kebab is my favorite,Cuisine,Kebab
How about Rice Dishes,Cuisine,Rice Dishes
My current Samut Prakan is Samut Prakan,Location,Samut Prakan
I'm looking for something within 388,Money,388
Hailing from Krabi,Location,Krabi
I want to try Francia,Cuisine,Francia
I'm willing to pay 64,Money,64
I'm craving Chinese,Cuisine,Chinese
Török is my favorite,Cuisine,Török
Khammouane is my current location,Location,Khammouane
I want to try ເບີເກີ,Cuisine,ເບີເກີ
Kulim is where I live,Location,Kulim
I have around 288 for the meal,Money,288
Let's go for ອາຫານຫວ່າງ,Cuisine,ອາຫານຫວ່າງ
I'm in the mood for Reggeli & Kávé,Cuisine,Reggeli & Kávé
I'm comfortable spending 764,Money,764
I can afford 318,Money,318
I want to try သက်သက်လွတ်,Cuisine,သက်သက်လွတ်
Chaiyaphum is my place,Location,Chaiyaphum
I'm located in Kampar,Location,Kampar
My home Suphan Buri is Suphan Buri,Location,Suphan Buri
My location is Košice,Location,Košice
Let's go for Mexická,Cuisine,Mexická
My location is Taichung City,Location,Taichung City
My favorite is Poke Bowl,Cuisine,Poke Bowl
Ratchaburi is my home,Location,Ratchaburi
I love British food,Cuisine,British
I reside in Rajshahi,Location,Rajshahi
I can spend up to 36,Money,36
Naogaon is my current Naogaon,Location,Naogaon
I'm willing to pay 268,Money,268
From Khammouane here,Location,Khammouane
Currently in Dhaka,Location,Dhaka
I'm comfortable spending 953,Money,953
I'm willing to pay 290,Money,290
I reside in Lakshmipur,Location,Lakshmipur
Budakalász is my home,Location,Budakalász
My home Bahawalpur is Bahawalpur,Location,Bahawalpur
I'm looking for something within 958,Money,958
I have 334 to spend,Money,334
I'm ready to spend 998,Money,998
I want to spend around 140,Money,140
ကြက်သား is my favorite,Cuisine,ကြက်သား
Currently in Kuala Lumpur,Location,Kuala Lumpur
I can afford 604,Money,604
I'm comfortable spending 902,Money,902
I'm craving Malay,Cuisine,Malay
I'm interested in ຍີ່ປຸ່ນ,Cuisine,ຍີ່ປຸ່ນ
I enjoy Snacks,Cuisine,Snacks
Let's go for Egészséges ételek,Cuisine,Egészséges ételek
I'm comfortable spending 477,Money,477
I would like Cantonese cuisine,Cuisine,Cantonese
I'm looking for something within 56,Money,56
I'm interested in Havajská,Cuisine,Havajská
I'm ready to spend 722,Money,722
I'm craving Mexická,Cuisine,Mexická
My budget is 609,Money,609
I'm looking for Drinks,Cuisine,Drinks
I want to try အသုပ်များ,Cuisine,အသုပ်များ
My budget is 224,Money,224
I'm located in Debrecen,Location,Debrecen
I'm in the mood for Indian,Cuisine,Indian
I can spend up to 873,Money,873
I'm craving ອາຫານຟິວຊັນ,Cuisine,ອາຫານຟິວຊັນ
How about Pulao,Cuisine,Pulao
I'm comfortable spending 794,Money,794
I can afford 30,Money,30
Taitung County is my location,Location,Taitung County
Noakhali is my place,Location,Noakhali
Let's go for Western,Cuisine,Western
I want to try Slovenská,Cuisine,Slovenská
I enjoy German,Cuisine,German
I would like ຊານົມໄຂ່ມຸກ cuisine,Cuisine,ຊານົມໄຂ່ມຸກ
I can afford 664,Money,664
I can spend up to 284,Money,284
I'm willing to pay 389,Money,389
I want to spend around 408,Money,408
I can afford 72,Money,72
I want to spend around 760,Money,760
Rompin is where I live,Location,Rompin
How about Middle Eastern,Cuisine,Middle Eastern
Žilina is my place,Location,Žilina
I want to spend around 921,Money,921
I'm ready to spend 899,Money,899
I'm interested in Salads,Cuisine,Salads
Changhua County is where I live,Location,Changhua County
My favorite is ຍີ່ປຸ່ນ,Cuisine,ຍີ່ປຸ່ນ
I have 861 to spend,Money,861
I'm ready to spend 40,Money,40
I'm comfortable spending 889,Money,889
I enjoy Vietnámi,Cuisine,Vietnámi
I'm in the mood for Thajská,Cuisine,Thajská
I want to try Milk Tea,Cuisine,Milk Tea
My current Muntinlupa City is Muntinlupa City,Location,Muntinlupa City
I'm interested in Ice Cream,Cuisine,Ice Cream
I can spend up to 818,Money,818
Hailing from Khammouane,Location,Khammouane
My location is Xiengkhuang,Location,Xiengkhuang
I want to spend around 435,Money,435
I live in Maha Sarakham,Location,Maha Sarakham
I have around 812 for the meal,Money,812
I'm interested in ຊູຊິ,Cuisine,ຊູຊິ
I would like Saláta cuisine,Cuisine,Saláta
My favorite is Savouries,Cuisine,Savouries
My location is Košice,Location,Košice
I'm interested in International,Cuisine,International
Poprad is where I live,Location,Poprad
I am currently living in Taung Gyi,Location,Taung Gyi
From Satkhira here,Location,Satkhira
Kushtia is my current location,Location,Kushtia
I want to spend around 985,Money,985
I'm ready to spend 966,Money,966
My location is Szentendre,Location,Szentendre
I'm willing to pay 564,Money,564
I have around 836 for the meal,Money,836
I'm willing to pay 134,Money,134
Bogra is my home,Location,Bogra
I can spend up to 157,Money,157
I can afford 485,Money,485
ຮາລາລ is my favorite,Cuisine,ຮາລາລ
I can afford 753,Money,753
My home Khon Kaen is Khon Kaen,Location,Khon Kaen
Lampang is where I live,Location,Lampang
I would like Sichuan cuisine,Cuisine,Sichuan
Miaoli County is my current Miaoli County,Location,Miaoli County
I want to spend around 964,Money,964
Cakes & Bakery is my favorite,Cuisine,Cakes & Bakery
Chon Buri is my current Chon Buri,Location,Chon Buri
Cebu City Cebu is my home,Location,Cebu City Cebu
I'm interested in မြန်မာအစားအစာ,Cuisine,မြန်မာအစားအစာ
Indická is my favorite,Cuisine,Indická
Let's go for Európska,Cuisine,Európska
I can spend up to 747,Money,747
Argentín is my favorite,Cuisine,Argentín
I'm craving Isan Thai,Cuisine,Isan Thai
I live in Manikganj,Location,Manikganj
I'm craving Chicken Chop,Cuisine,Chicken Chop
I'm in the mood for Milk Tea,Cuisine,Milk Tea
I'm comfortable spending 64,Money,64
I have 935 to spend,Money,935
I have 248 to spend,Money,248
I'm ready to spend 382,Money,382
I want to try Turecká,Cuisine,Turecká
From Kulai here,Location,Kulai
I can spend up to 903,Money,903
I'm looking for something within 215,Money,215
I'm comfortable spending 350,Money,350
I can spend up to 79,Money,79
I'm craving Beijing,Cuisine,Beijing
I'm looking for something within 726,Money,726
Kushtia is my place,Location,Kushtia
I'm ready to spend 581,Money,581
Buriram is my current Buriram,Location,Buriram
I'm willing to pay 429,Money,429
I'm ready to spend 536,Money,536
My current Rangpur is Rangpur,Location,Rangpur
I want to spend around 960,Money,960
I'm willing to pay 958,Money,958
I'm in Ormoc Leyte,Location,Ormoc Leyte
Living in Ulu Tiram,Location,Ulu Tiram
Rajshahi is where I reside,Location,Rajshahi
In Kajang right now,Location,Kajang
I'm craving Thai,Cuisine,Thai
My favorite is Tea,Cuisine,Tea
I enjoy American,Cuisine,American
Hailing from Kamphaeng Phet,Location,Kamphaeng Phet
My budget is 981,Money,981
I can spend up to 466,Money,466
I enjoy ລາວ,Cuisine,ລາວ
Living in Sibu,Location,Sibu
In Jamalpur right now,Location,Jamalpur
I can spend up to 211,Money,211
How about 甜點,Cuisine,甜點
Žilina is my current Žilina,Location,Žilina
I'm craving Chinese,Cuisine,Chinese
I have 750 to spend,Money,750
I can spend up to 39,Money,39
I'm in the mood for မုန့်တိုက်,Cuisine,မုန့်တိုက်
I want to try ມັງສະວີລັດ,Cuisine,ມັງສະວີລັດ
I'm in the mood for ອາຫານເພື່ອສຸຂະພາບ,Cuisine,ອາຫານເພື່ອສຸຂະພາບ
I'm craving ອາຊີ,Cuisine,ອາຊີ
Let's go for Cha Chaan Teng,Cuisine,Cha Chaan Teng
From Miskolc here,Location,Miskolc
I'm looking for something within 823,Money,823
I'm in Kulim,Location,Kulim
I reside in Rajshahi,Location,Rajshahi
I'm looking for Thajská,Cuisine,Thajská
I love ອາເມລິກາ food,Cuisine,ອາເມລິກາ
I want to try Fast food,Cuisine,Fast food
Western is my favorite,Cuisine,Western
Living in Phra Nakhon Si Ayutthaya,Location,Phra Nakhon Si Ayutthaya
I'm craving ວີເກັນ,Cuisine,ວີເກັນ
I want to try Steak,Cuisine,Steak
I would like Fruit Shake cuisine,Cuisine,Fruit Shake
I have around 350 for the meal,Money,350
I'm craving Koreai,Cuisine,Koreai
Debrecen is my current Debrecen,Location,Debrecen
My budget is 350,Money,350
I'm ready to spend 988,Money,988
I'm looking for something within 369,Money,369
I have 168 to spend,Money,168
Sushi is my favorite,Cuisine,Sushi
My favorite is ကြက်သား,Cuisine,ကြက်သား
My current Klang is Klang,Location,Klang
I'm ready to spend 920,Money,920
My budget is 818,Money,818
I would like 歐美 cuisine,Cuisine,歐美
I have around 177 for the meal,Money,177
My home Moulvibazar is Moulvibazar,Location,Moulvibazar
I reside in Rahim Yar Khan,Location,Rahim Yar Khan
I would like Tea & Coffee cuisine,Cuisine,Tea & Coffee
I want to spend around 114,Money,114
I would like Vegetarian cuisine,Cuisine,Vegetarian
I have 855 to spend,Money,855
I can spend up to 790,Money,790
I can afford 506,Money,506
I'm comfortable spending 256,Money,256
Penghu County is my current location,Location,Penghu County
My favorite is Fruits,Cuisine,Fruits
I want to try International,Cuisine,International
My favorite is ອາຫານຈານດ່ວນ,Cuisine,ອາຫານຈານດ່ວນ
ພິຊຊ່າ is my favorite,Cuisine,ພິຊຊ່າ
Szerb is my favorite,Cuisine,Szerb
Let's go for Snacks,Cuisine,Snacks
I have around 349 for the meal,Money,349
Let's go for ຕາເວັນຕົກ,Cuisine,ຕາເວັນຕົກ
Let's go for ອາຫານເພື່ອສຸຂະພາບ,Cuisine,ອາຫານເພື່ອສຸຂະພາບ
I'm craving Európska,Cuisine,Európska
Dera Ghazi Khan is where I live,Location,Dera Ghazi Khan
I'm ready to spend 795,Money,795
Cebu City Cebu is where I live,Location,Cebu City Cebu
I'm willing to pay 237,Money,237
I can afford 561,Money,561
I love Fast Food food,Cuisine,Fast Food
I'm located in Saraburi,Location,Saraburi
I would like Snacks cuisine,Cuisine,Snacks
I enjoy အိန္ဒိယအစားအစာ,Cuisine,အိန္ဒိယအစားအစာ
I'm ready to spend 652,Money,652
I would like Bakery cuisine,Cuisine,Bakery
Let's go for အင်ဒိုနီးရှားအစားအစာ,Cuisine,အင်ဒိုနီးရှားအစားအစာ
I'm looking for something within 345,Money,345
I'm looking for Egészséges ételek,Cuisine,Egészséges ételek
I can spend up to 258,Money,258
I love ຕາເວັນອອກກາງ food,Cuisine,ຕາເວັນອອກກາງ
My favorite is 日式,Cuisine,日式
I live in Nakhon Phanom,Location,Nakhon Phanom
I'm interested in Hong Kong,Cuisine,Hong Kong
Phra Nakhon Si Ayutthaya is my place,Location,Phra Nakhon Si Ayutthaya
My location is Yunlin County,Location,Yunlin County
I can afford 212,Money,212
Nakhon Nayok is my location,Location,Nakhon Nayok
I can afford 458,Money,458
I'm ready to spend 403,Money,403
Living in Bokeo,Location,Bokeo
My favorite is Beijing,Cuisine,Beijing
I'm located in Monywa,Location,Monywa
I want to try 中式,Cuisine,中式
I have around 625 for the meal,Money,625
I want to try မက္ကဆီကန်အစားအစာ,Cuisine,မက္ကဆီကန်အစားအစာ
I'm willing to pay 956,Money,956
I am currently living in Kepala Batas,Location,Kepala Batas
I'm ready to spend 74,Money,74
I'm looking for something within 128,Money,128
I'm in the mood for Argentín,Cuisine,Argentín
Abbottabad is my current Abbottabad,Location,Abbottabad
How about Peranakan - Nyonya,Cuisine,Peranakan - Nyonya
I'm in Miri,Location,Miri
I'm looking for something within 453,Money,453
I am currently living in Seremban,Location,Seremban
Living in Pursat,Location,Pursat
I can afford 76,Money,76
I'm in the mood for Halétel,Cuisine,Halétel
I am currently living in Sialkot,Location,Sialkot
I can spend up to 459,Money,459
ຟີລິບປິນ is my favorite,Cuisine,ຟີລິບປິນ
I'm ready to spend 996,Money,996
I have 85 to spend,Money,85
How about ເກົາຫຼີ,Cuisine,ເກົາຫຼີ
I live in Bintulu,Location,Bintulu
I have around 777 for the meal,Money,777
Phnom Penh is my place,Location,Phnom Penh
My home Chiang Mai is Chiang Mai,Location,Chiang Mai
Multan is my home,Location,Multan
I would like Laksa cuisine,Cuisine,Laksa
I am currently living in Monywa,Location,Monywa
I am currently living in Taguig City,Location,Taguig City
I'm comfortable spending 491,Money,491
Let's go for ຊານົມໄຂ່ມຸກ,Cuisine,ຊານົມໄຂ່ມຸກ
I want to try အသားညှပ်ပေါင်မုန့်,Cuisine,အသားညှပ်ပေါင်မုန့်
I would like Soups cuisine,Cuisine,Soups
Jerantut is my current location,Location,Jerantut
I'm craving German,Cuisine,German
My budget is 633,Money,633
I want to try Juhoamerická,Cuisine,Juhoamerická
My budget is 70,Money,70
My budget is 133,Money,133
I enjoy Fast food,Cuisine,Fast food
I would like အသုပ်များ cuisine,Cuisine,အသုပ်များ
My location is Sitiawan,Location,Sitiawan
I want to try 中式,Cuisine,中式
I have around 844 for the meal,Money,844
Living in Lopburi,Location,Lopburi
I reside in Luang Prabang,Location,Luang Prabang
My current Okara is Okara,Location,Okara
Trnava is my place,Location,Trnava
I can afford 249,Money,249
Yilan County is my current location,Location,Yilan County
I reside in Hong Kong,Location,Hong Kong
My budget is 863,Money,863
I have around 451 for the meal,Money,451
I'm looking for something within 333,Money,333
Bayan Baru is where I live,Location,Bayan Baru
My current Kulim is Kulim,Location,Kulim
From Trnava here,Location,Trnava
I'm ready to spend 314,Money,314
Sukkur is my home,Location,Sukkur
I can afford 841,Money,841
I have around 68 for the meal,Money,68
Let's go for ကြက်သား,Cuisine,ကြက်သား
I'm located in Comilla,Location,Comilla
In Košice right now,Location,Košice
My favorite is Desszertek,Cuisine,Desszertek
I'm looking for Burgers,Cuisine,Burgers
My budget is 573,Money,573
I would like Szendvics cuisine,Cuisine,Szendvics
I have 18 to spend,Money,18
Fried Rice is my favorite,Cuisine,Fried Rice
I'm ready to spend 193,Money,193
I'm ready to spend 163,Money,163
How about Chicken Chop,Cuisine,Chicken Chop
I'm ready to spend 333,Money,333
Hailing from Maha Sarakham,Location,Maha Sarakham
I'm ready to spend 988,Money,988
I'm looking for ကိုရီးယားအစားအစာ,Cuisine,ကိုရီးယားအစားအစာ
Let's go for Halal,Cuisine,Halal
My current Taipei City is Taipei City,Location,Taipei City
I'm craving Tea,Cuisine,Tea
I'm willing to pay 456,Money,456
Samut Sakhon is my place,Location,Samut Sakhon
I'm in the mood for Wraps,Cuisine,Wraps
In Sadiqabad right now,Location,Sadiqabad
Living in Kaohsiung City,Location,Kaohsiung City
My home Chandpur is Chandpur,Location,Chandpur
I'm looking for အချိုပွဲများ,Cuisine,အချိုပွဲများ
I can afford 891,Money,891
I reside in Sandakan,Location,Sandakan
My favorite is 韓式,Cuisine,韓式
I'm craving Lebanese,Cuisine,Lebanese
Phetchaburi is my location,Location,Phetchaburi
I have 663 to spend,Money,663
My favorite is Západná,Cuisine,Západná
I'm interested in ແມັກຊິໂກ,Cuisine,ແມັກຊິໂກ
I can spend up to 472,Money,472
Sialkot is where I live,Location,Sialkot
I have 994 to spend,Money,994
I'm interested in အမေရိကန်,Cuisine,အမေရိကန်
I enjoy Malaysian,Cuisine,Malaysian
Let's go for Ayam Penyet,Cuisine,Ayam Penyet
I'm craving Tészta,Cuisine,Tészta
I'm looking for ဘာဂါများ,Cuisine,ဘာဂါများ
I'm in Singapore,Location,Singapore
Johor Bahru is my current location,Location,Johor Bahru
Living in Taoyuan City,Location,Taoyuan City
I love ອາຫານຈີນ food,Cuisine,ອາຫານຈີນ
Nakhon Si Thammarat is my home,Location,Nakhon Si Thammarat
I'm comfortable spending 627,Money,627
I would like Udon cuisine,Cuisine,Udon
In Pasig City right now,Location,Pasig City
I'm willing to pay 512,Money,512
Prachinburi is my current location,Location,Prachinburi
I live in Taiping,Location,Taiping
I'm looking for Sinigang,Cuisine,Sinigang
Let's go for Ázsiai,Cuisine,Ázsiai
Aungpan is my current Aungpan,Location,Aungpan
I enjoy Asian,Cuisine,Asian
Hailing from Jhenaidah,Location,Jhenaidah
Living in Kuala Lumpur,Location,Kuala Lumpur
I have around 844 for the meal,Money,844
Nan is my current location,Location,Nan
I can afford 868,Money,868
I'm interested in ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ,Cuisine,ကျန်းမာရေးနှင့်ညီညွတ်သော အစားအစာများ
I can spend up to 790,Money,790
I enjoy Desserts,Cuisine,Desserts
I'm in the mood for အရက်,Cuisine,အရက်
I'm interested in Čínska,Cuisine,Čínska
In Nakhon Pathom right now,Location,Nakhon Pathom
Hailing from Udon Thani,Location,Udon Thani
I'm willing to pay 59,Money,59
My home Miaoli County is Miaoli County,Location,Miaoli County
I'm interested in ຕາເວັນອອກກາງ,Cuisine,ຕາເວັນອອກກາງ
I would like Beverage cuisine,Cuisine,Beverage
I'm ready to spend 826,Money,826
I have around 177 for the meal,Money,177
I have around 301 for the meal,Money,301
I'm in the mood for Západná,Cuisine,Západná
From Prešov here,Location,Prešov
